A;B;C;D
Reviews;Recenzije;module;Magento_Reports
Customers Report;Izveštaj o kupcima;module;Magento_Reports
Customer Reviews Report;Izveštaj o recenzijama kupaca;module;Magento_Reports
Product Reviews Report;Izveštaj o recenzijama proizvoda;module;Magento_Reports
Product Reviews;Recenzije proizvoda;module;Magento_Reports
Details;Detalji;module;Magento_Reports
Sales;Prodaja;module;Magento_Reports
Bestsellers Report;Izveštaj o najprodavanijem proizvodu;module;Magento_Reports
Coupons;Kuponi;module;Magento_Reports
Coupons Report;Izveštaj o kuponima;module;Magento_Reports
Invoice Report;Izveštaj o fakturama;module;Magento_Reports
Refunds Report;Izveštaj o povratu novca;module;Magento_Reports
Sales Report;Izveštaj o prodaji;module;Magento_Reports
Orders Report;Izveštaj o narudžbini;module;Magento_Reports
Shipping Report;Izveštaj o dostavi;module;Magento_Reports
Tax Report;Izveštaj o porezu;module;Magento_Reports
Shopping Cart;Korpa;module;Magento_Reports
Abandoned Carts;Napuštene korpe;module;Magento_Reports
Customer Shopping Carts;Korpa;module;Magento_Reports
Products in Carts;Proizvodi u korpi;module;Magento_Reports
Statistics;Statistika;module;Magento_Reports
No report code is specified.;Nije odabran kod izvješća.;module;Magento_Reports
You refreshed lifetime statistics.;Izveštaj o ukupnim narudžbinama;module;Magento_Reports
We can't refresh lifetime statistics.;Nije moguće osvežiti ukupnu statistiku.;module;Magento_Reports
Recent statistics have been updated.;Osvežena je nedavna statistika.;module;Magento_Reports
We can't refresh recent statistics.;Nije moguće osvežiti nedavnu statistiku.;module;Magento_Reports
The product type filter specified is incorrect.;Odabrani filter za vrstu proizvoda nije tačan.;module;Magento_Reports
Order Taxes Report Grouped by Tax Rates;Izveštaj o porezu o narudžbini poređan prema visini poreza;module;Magento_Reports
Total Invoiced VS Paid Report;Ukupno fakturisano VS izvještaj o plaćanju;module;Magento_Reports
Promotion Coupons Usage Report;Izveštaj o korišćenju kupona;module;Magento_Reports
Bestsellers;Najprodavanije;module;Magento_Reports
Most Viewed Products Report;Izveštaj o najviše pogledanim proizvodima;module;Magento_Reports
An error occurred while showing the product views report. Please review the log and try again.;Dogodila se greška prilikom prikaza izvešća o pregledu proizvoda. Pogledajte izveštaj radi više informacija;module;Magento_Reports
Error;Greška;module;Magento_Reports
Show By;Prikažite po;module;Magento_Reports
Select Date;Odaberite datum;module;Magento_Reports
Customers that have Wish List: %1;Kupci koji posjeduju listu želja: %1;module;Magento_Reports
Number of Wish Lists: %1;Broj listi želja: %1;module;Magento_Reports
Number of items bought from a Wish List: %1;Broj kupljenih proizvoda sa liste želja: %1;module;Magento_Reports
Number of times Wish Lists have been shared (emailed): %1;Broj o deljenju liste želja putem e-maila: %1;module;Magento_Reports
Number of Wish List referrals: %1;Broj upućivanja na listu želja: %1;module;Magento_Reports
Number of Wish List conversions: %1;Broj razgovora o listi želja: %1;module;Magento_Reports
Show Report For:;Prikažite izvještaj za:;module;Magento_Reports
All Websites;Sve web strancie;module;Magento_Reports
Recently Viewed;Nedavno pogledano;module;Magento_Reports
Add to Cart;Dodajte u korpu;module;Magento_Reports
In stock;Dostupno;module;Magento_Reports
Out of stock;Nedoustpno;module;Magento_Reports
Add to Wish List;Dodajte u listu želja;module;Magento_Reports
Add to Compare;Dodajte za upoređivanje;module;Magento_Reports
Recently Compared;Nedavno upoređeno;module;Magento_Reports
Learn More;Saznajte više;module;Magento_Reports
Save Review;Spremite recenziju;module;Magento_Review
New Review;Nova recenzija;module;Magento_Review
Review Details;Detalji recenzije;module;Magento_Review
Product;Proizvod;module;Magento_Review
Product Rating;Ocena proizvoda;module;Magento_Review
Status;Status;module;Magento_Review
Visibility;Vidljivost;module;Magento_Review
Nickname;Nadimak;module;Magento_Review
Summary of Review;Rezime recenzije;module;Magento_Review
Review;Recenzija;module;Magento_Review
Previous;Prethodno;module;Magento_Review
Save and Previous;Spremite i vratite se na prethodno;module;Magento_Review
Save and Next;Spremite i idite na sledeće;module;Magento_Review
Next;Sledeće;module;Magento_Review
Delete Review;Uklonite recenziju;module;Magento_Review
Are you sure you want to do this?;Jeste li sigurni?;module;Magento_Review
Edit Review '%1';Uredite recenziju '%1';module;Magento_Review
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>";"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>";module;Magento_Review
Administrator;Administrator;module;Magento_Review
Guest;Gost;module;Magento_Review
Author;Autor;module;Magento_Review
Summary Rating;Ocena rezimea;module;Magento_Review
Detailed Rating;Detalji o oceni;module;Magento_Review
ID;ID;module;Magento_Review
Created;Napravljeno;module;Magento_Review
Title;Titula;module;Magento_Review
Type;Vrsta;module;Magento_Review
SKU;SKU;module;Magento_Review
Action;Radnja;module;Magento_Review
Edit;Uređivanje;module;Magento_Review
Delete;Uklonite;module;Magento_Review
Are you sure?;Jeste li sigurni?;module;Magento_Review
Update Status;Ažurirajte status;module;Magento_Review
Customer;Kupac;module;Magento_Review
Pending Reviews of Customer `%1`;Pregledi klijenata na čekanju `%1`;module;Magento_Review
Pending Reviews;Recenzije u toku;module;Magento_Review
All Reviews of Customer `%1`;Sve recenzije od strane kupca `%1`;module;Magento_Review
All Reviews of Product `%1`;Sve recenzije za proizvod `%1`;module;Magento_Review
All Reviews;Sve recenzije;module;Magento_Review
Name;Naziv;module;Magento_Review
Product Store Name;Naziv trgovine;module;Magento_Review
Price;Cena;module;Magento_Review
Quantity;Količina;module;Magento_Review
Websites;Web stranica;module;Magento_Review
Manage Ratings;Upravljajte ocenama;module;Magento_Review
Add New Rating;Dodajte novu ocenu;module;Magento_Review
Save Rating;Spremite ocenu;module;Magento_Review
Delete Rating;Uklonite ocenu;module;Magento_Review
Edit Rating #%1;Uredite ocenu #%1;module;Magento_Review
New Rating;Nova ocena;module;Magento_Review
Rating Title;Ocenite naziv;module;Magento_Review
Default Value;Zadata vrednost;module;Magento_Review
Rating Visibility;Vidljivost ocene;module;Magento_Review
Is Active;Je aktivno;module;Magento_Review
Sort Order;Redosled;module;Magento_Review
Rating Information;Podaci o ocenjivanju;module;Magento_Review
Product Reviews;Recenzija o proizvodu;module;Magento_Review
Pending product review(s);Recenzija/e proizvoda u toku;module;Magento_Review
"Product: <a href=""%1"" target=""_blank"">%2</a> <br/>";"Proizvod: <a href=""%1"" target=""_blank"">%2</a> <br/>";module;Magento_Review
Summary of review: %1 <br/>;Izveštaj recenzije: %1 <br/>;module;Magento_Review
Review: %1 <br/>;Recenzija: %1 <br/>;module;Magento_Review
Store: %1 <br/>;Trgovina: %1 <br/>;module;Magento_Review
"Click <a href=""%1"">here</a> to see the review.";"Kliknite <a href=""%1"">ovde</a> kako bi videli recenziju.";module;Magento_Review
"Product: ""%1"" reviewed by: %2";"Proizvod: ""%1"" recenziran od strane: %2";module;Magento_Review
Pending Reviews RSS;RSS recenzija u toku;module;Magento_Review
Reviews %1;Recenzije %1;module;Magento_Review
Reviews;Recenzije;module;Magento_Review
The review has been deleted.;Recenzija je obrisana.;module;Magento_Review
Something went wrong  deleting this review.;Dogodila se greška prilikom brisanja recenzije.;module;Magento_Review
Customer Reviews;Recenzije kupaca;module;Magento_Review
Edit Review;Uredite recenziju;module;Magento_Review
We can't retrieve the product ID.;Nije moguće povratiti ID proizvoda.;module;Magento_Review
Please select review(s).;Odaberite recenziju/e.;module;Magento_Review
A total of %1 record(s) have been deleted.;Ukupno je %1 zapis/a uklonjeno.;module;Magento_Review
Something went wrong while deleting these records.;Dogodila se greška prilikom uklanjanja zapisa.;module;Magento_Review
A total of %1 record(s) have been updated.;Ukupno je %1 zapis/a uklonjeno.;module;Magento_Review
Something went wrong while updating these review(s).;Dogodila se greška prilikom ažuriranja recenzije/a.;module;Magento_Review
You saved the review.;Spremili ste recenziju.;module;Magento_Review
Something went wrong while saving this review.;Dogodila se greška prilikom spremanja recenzije.;module;Magento_Review
The review was removed by another user or does not exist.;Recenzije je uklonjena od strane drugog korisnika ili ne postoji.;module;Magento_Review
You deleted the rating.;Uklonili ste ocenu.;module;Magento_Review
Ratings;Ocene;module;Magento_Review
You saved the rating.;Spremili ste ocenu.;module;Magento_Review
My Product Reviews;Moje recenzije;module;Magento_Review
Cannot initialize product;Nije moguće inicijalizirati proizvod;module;Magento_Review
You submitted your review for moderation.;Poslali ste recenziju na pregled.;module;Magento_Review
We can't post your review right now.;Trenutno se ne može objaviti recenzija.;module;Magento_Review
Storage key was not set;Nije postavljen ključ skladišta;module;Magento_Review
Approved;Odobreno;module;Magento_Review
Pending;Šalje se;module;Magento_Review
Not Approved;Nije odobreno;module;Magento_Review
Please enter a review summary.;Unesite sažetak recenzije.;module;Magento_Review
Please enter a nickname.;Unesite nadimak.;module;Magento_Review
Please enter a review.;Unesite recenziju.;module;Magento_Review
Rating isn't Available;Ocenjivanje nije moguće;module;Magento_Review
Please specify a rating title for a store, or we'll just use the default value.;Unesite naziv ocenjivanja ili će se koristiti zadata vrednost.;module;Magento_Review
Assigned Options;Dodeljenje mogućnosti;module;Magento_Review
Option Title:;Mogućnosti naziva:;module;Magento_Review
Product Name;Naziv proizovda;module;Magento_Review
Rating;Ocenjivanje;module;Magento_Review
Actions;Radnje;module;Magento_Review
See Details;Saznajte više;module;Magento_Review
You have submitted no reviews.;Niste objavili niti jednu recenziju.;module;Magento_Review
Back;Povratak;module;Magento_Review
My Recent Reviews;Nedavne recenzije;module;Magento_Review
View All;Vidi sve;module;Magento_Review
Average Customer Rating:;Prosečna ocena:;module;Magento_Review
Your Review;Vaša recenzija;module;Magento_Review
Submitted on %1;Poslato na %1;module;Magento_Review
Back to My Reviews;Povratak na recenzije;module;Magento_Review
Ratings Review Summary;Izveštaj recenzije ocenjivanja;module;Magento_Review
Be the first to review this product;Prvi ocenite ovaj proizvod;module;Magento_Review
Write Your Own Review;Napišite vlastitu recenziju;module;Magento_Review
* Required Fields;* obavezna polja;module;Magento_Review
You're reviewing:;Recenzirate:;module;Magento_Review
Your Rating;Vaša ocena;module;Magento_Review
%1 %2;%1 %2;module;Magento_Review
Summary;Izveštaj;module;Magento_Review
Submit Review;Pošaljite recenziju;module;Magento_Review
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>";"Samo registrovani korisnici mogu recenzirati. Molimo <a href=""%1"">prijavite se</a> ili <a href=""%2"">napravite profil</a>";module;Magento_Review
Add Your Review;Dodajte svoju recenziju;module;Magento_Review
%1 Review(s);%1 recenzija/e;module;Magento_Review
Review by;Recenzirano od;module;Magento_Review
Posted on;Objavljeno na;module;Magento_Review
Back to Main Product Info;Povratak na informacije o proizvodu;module;Magento_Review
Average Customer Rating;Prosečna ocena;module;Magento_Review
Product Rating:;Ocena proizvoda:;module;Magento_Review
Product Review (submitted on %1):;Rezencija proizvoda (objavljena na %1):;module;Magento_Review
Back to Product Reviews;Povratak na recenzije;module;Magento_Review
Page not found.;Stranice nije pronađena;module;Magento_Rss
Feed;Izvor;module;Magento_Rss
Miscellaneous Feeds;Razni izvori;module;Magento_Rss
Get Feed;Saznajte izvor;module;Magento_Rss
Apply;Primenite;module;Magento_Rule
Please choose a valid discount amount.;Odaberite valjanu količinu popusta.;module;Magento_Rule
End Date must follow Start Date.;Krajnji datum mora pratiti početni.;module;Magento_Rule
Please specify a website.;Molimo odaberite web stranicu.;module;Magento_Rule
Please specify Customer Groups.;Odaberite korisničke grupe.;module;Magento_Rule
to;do;module;Magento_Rule
by;sa;module;Magento_Rule
Please choose an action to add.;Odaberite radnju za dodavanje.;module;Magento_Rule
Perform following actions;Izvedi sledeće radnje;module;Magento_Rule
is;je;module;Magento_Rule
is not;nije;module;Magento_Rule
equals or greater than;jednako ili veće od;module;Magento_Rule
equals or less than;jednako ili manje od;module;Magento_Rule
greater than;veće od;module;Magento_Rule
less than;manje od;module;Magento_Rule
contains;sadrži;module;Magento_Rule
does not contain;ne sadrži;module;Magento_Rule
is one of;deo od;module;Magento_Rule
is not one of;nije deo;module;Magento_Rule
Please choose a condition to add.;Odaberite uslov za dodavanje.;module;Magento_Rule
Add;Dodajte;module;Magento_Rule
Remove;Uklonite;module;Magento_Rule
ALL;SVE;module;Magento_Rule
ANY;BILO KOJI;module;Magento_Rule
true;TAČNO;module;Magento_Rule
false;NETAČNO;module;Magento_Rule
If %1 of these conditions are %2:;Ako je jedan od %1 uslova onda %2:;module;Magento_Rule
Conditions Combination;Kombinacija uslova;module;Magento_Rule
Attribute Set;Set atributa;module;Magento_Rule
Category;Kategorija;module;Magento_Rule
Open Chooser;Izbir birača;module;Magento_Rule
Unknown condition operator;Nepoznato stanje operatera;module;Magento_Rule
"There is no information about associated entity type ""%1"".";"Nema podataka o povezanom subjektu ""%1"".";module;Magento_Rule
Move to Archive;Premestite u arhivu;module;Magento_SalesArchive
Move to Order Management;Premestite u upravljanje narudžbinama;module;Magento_SalesArchive
We have archived the order.;Narudžbina je arhivirana;module;Magento_SalesArchive
Please specify the order ID to be archived.;Odredite ID narudžbe kako bi mogla biti arhivirana.;module;Magento_SalesArchive
Credit Memos;Kreditni zapisi;module;Magento_SalesArchive
Invoices;Računi;module;Magento_SalesArchive
We archived %1 order(s).;Arhivirana je %1 narudžbina/e.;module;Magento_SalesArchive
We can't archive the selected order(s).;Nije moguće arhivirati odabrane narudžbine.;module;Magento_SalesArchive
We removed %1 order(s) from the archive.;Uklonjena je %1 narudžbina/e iz arhive.;module;Magento_SalesArchive
Orders;Narudžbine;module;Magento_SalesArchive
We have removed the order from the archive.;Narudžbina je uklonjena iz arhive.;module;Magento_SalesArchive
Please specify the order ID to be removed from archive.;Odredite ID narudžbine kako bi mogla biti uklonjena iz arhive.;module;Magento_SalesArchive
Shipments;Pošiljke;module;Magento_SalesArchive
There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.;U arhivi su %1 narudžbine. Sve će biti premeštene u regularne tablice nakon što se onemogući arhiva.;module;Magento_SalesArchive
Future Update in this time range already exists. Select a different range to add a new Future Update.;Već postoje buduće nadogradnje za ovo vremensko razdoblje. Odaberite drugačiji raspon kako bi dodali nove nadogradnje.;module;Magento_SalesRuleStaging
Cart Price Rules;Pravila korpe;module;Magento_SalesRule
Add New Rule;Dodajte novo pravilo;module;Magento_SalesRule
Delete;Uklonite;module;Magento_SalesRule
Are you sure you want to delete this?;Jeste li sigurno da želite ukloniti?;module;Magento_SalesRule
Reset;Reset;module;Magento_SalesRule
Save and Continue Edit;Spremite i nastavite uređivanje;module;Magento_SalesRule
Save;Spremite;module;Magento_SalesRule
Actions;Radnje;module;Magento_SalesRule
Apply the rule only to cart items matching the following conditions (leave blank for all items).;Primenite pravilo samo na proizvode košarice koji odgovaraju navedenim uslovima (ostavite prazno za sve proizvode);module;Magento_SalesRule
Apply To;Primenite na;module;Magento_SalesRule
Conditions;Uslovi;module;Magento_SalesRule
Apply the rule only if the following conditions are met (leave blank for all products).;Primeni pravilo samo ako su sledeća pravila ispunjena (ostavi prazno za sve proizvode);module;Magento_SalesRule
Manage Coupon Codes;Upravljajte kodovima kupona;module;Magento_SalesRule
Coupon Qty;Količina kupona;module;Magento_SalesRule
Code Length;Dužina koda;module;Magento_SalesRule
Excluding prefix, suffix and separators.;Bez prefiksa, sufiksa i razmaka.;module;Magento_SalesRule
Code Format;Format koda;module;Magento_SalesRule
Code Prefix;Prefiks koda;module;Magento_SalesRule
Code Suffix;Sufiks koda;module;Magento_SalesRule
Dash Every X Characters;Crtica svakih X znakova;module;Magento_SalesRule
If empty no separation.;Ako je prazno nema razmaka.;module;Magento_SalesRule
Generate;Generisati;module;Magento_SalesRule
Coupon Code;Kupon kod;module;Magento_SalesRule
Created;Stvoreno;module;Magento_SalesRule
Uses;Koristi;module;Magento_SalesRule
No;Ne;module;Magento_SalesRule
Yes;Da;module;Magento_SalesRule
Times Used;Vremena korišćeno;module;Magento_SalesRule
CSV;CSV;module;Magento_SalesRule
Excel XML;Excel XML;module;Magento_SalesRule
Are you sure you want to delete the selected coupon(s)?;Jeste li sigurni da želite obrisati odabrane kupon/e?;module;Magento_SalesRule
Labels;Oznake;module;Magento_SalesRule
Store View Specific Labels;Specifične oznake pregleda prodavnice;module;Magento_SalesRule
ID;ID;module;Magento_SalesRule
Rule;Pravilo;module;Magento_SalesRule
Start;Početak;module;Magento_SalesRule
End;Kraj;module;Magento_SalesRule
Status;Status;module;Magento_SalesRule
%1 - Discounts and Coupons;%1 - popusta i kupona;module;Magento_SalesRule
Coupons/Discounts;Kuponi/popusti;module;Magento_SalesRule
Promotions;Promocije;module;Magento_SalesRule
You deleted the rule.;Uklonili ste pravilo.;module;Magento_SalesRule
We can't delete the rule right now. Please review the log and try again.;Trenutno se ne može ukloniti pravilo. Pregledajte izveštaj i pokušajte ponovno.;module;Magento_SalesRule
We can't find a rule to delete.;Nije moguće pronaći pravilo za uklanjanje.;module;Magento_SalesRule
This rule no longer exists.;Pravilo ne postoji;module;Magento_SalesRule
Edit Rule;Editujte pravilo;module;Magento_SalesRule
New Rule;Novo pravilo;module;Magento_SalesRule
New Cart Price Rule;Novo pravilo korpe;module;Magento_SalesRule
Rule is not defined;Pravilo nije definisano;module;Magento_SalesRule
Invalid data provided;Uneseni pogrešni podaci;module;Magento_SalesRule
%1 coupon(s) have been generated.;Kreiran je %1 kupon/a;module;Magento_SalesRule
Something went wrong while generating coupons. Please review the log and try again.;Dogodila se greška prilikom kreiranja kupona. Pregledajte izveštaj i pokušajte ponovno.;module;Magento_SalesRule
Catalog;Katalog;module;Magento_SalesRule
The wrong rule is specified.;Određeno je pravilo pogrešno.;module;Magento_SalesRule
You saved the rule.;Spremili ste pravilo.;module;Magento_SalesRule
Something went wrong while saving the rule data. Please review the error log.;Dogodila se greška tokom spremanja pravila. Pregledajte izveštaj.;module;Magento_SalesRule
Alphanumeric;Alfanumeričko;module;Magento_SalesRule
Alphabetical;Abecedno;module;Magento_SalesRule
Numeric;Numeričko;module;Magento_SalesRule
We cannot create the requested Coupon Qty. Please check your settings and try again.;Nije moguće kreirati traženu količinu kupona. Pregledajte podešavanja i pokušajte ponovno.;module;Magento_SalesRule
Specified rule does not allow coupons;Određeno pravilo ne dopušta kupone;module;Magento_SalesRule
Specified rule only allows auto generated coupons;Pravilo omogućuje samo autogenerirane kupone;module;Magento_SalesRule
Specified rule does not allow auto generated coupons;Pravilo ne dopušta autogenerirane kupone;module;Magento_SalesRule
Error occurred when saving coupon: %1;Ukupno grešaka koje su se dogodile prilikom spremanja kupona: %1;module;Magento_SalesRule
Discount (%1);Popust (%1);module;Magento_SalesRule
Discount;Popust;module;Magento_SalesRule
Coupon with the same code;Kupon s istim kodom;module;Magento_SalesRule
No Coupon;Nema kupona;module;Magento_SalesRule
Specific Coupon;Određeni kupon;module;Magento_SalesRule
Auto;Auto;module;Magento_SalesRule
Can't acquire coupon.;Ne možete dobiti kupon.;module;Magento_SalesRule
Update the Product;Ažurirajte proizvod;module;Magento_SalesRule
Special Price;Posebna cena;module;Magento_SalesRule
To Fixed Value;Stalna vrednost;module;Magento_SalesRule
To Percentage;U procentu;module;Magento_SalesRule
By Fixed value;Stalnom vrednosti;module;Magento_SalesRule
By Percentage;U procentu;module;Magento_SalesRule
Update product's %1 %2: %3;Ažurirajte proizvode %1 %2: %3;module;Magento_SalesRule
Subtotal;Ukupno;module;Magento_SalesRule
Total Items Quantity;Ukupan broj proizvoda;module;Magento_SalesRule
Total Weight;Ukupna težina;module;Magento_SalesRule
Payment Method;Način plaćanja;module;Magento_SalesRule
Shipping Method;Način dostave;module;Magento_SalesRule
Shipping Postcode;Poštanski broj na koji se dostavlja;module;Magento_SalesRule
Shipping Region;Oblast u koju se dostavlja;module;Magento_SalesRule
Shipping State/Province;Oblast u koju se dostavlja;module;Magento_SalesRule
Shipping Country;Država u koju se dostavlja;module;Magento_SalesRule
Product attribute combination;Kombinacija atributa proizvoda;module;Magento_SalesRule
Products subselection;Podizbori proizvoda;module;Magento_SalesRule
Conditions combination;Kombinacija uslova;module;Magento_SalesRule
Cart Attribute;Atribut korpe;module;Magento_SalesRule
Quantity in cart;Količina u korpi;module;Magento_SalesRule
Price in cart;Cena u korpi;module;Magento_SalesRule
Row total in cart;Ukupno u korpi;module;Magento_SalesRule
Conditions Combination;Kombinacija uslova;module;Magento_SalesRule
Cart Item Attribute;Atribut proizvoda u korpi;module;Magento_SalesRule
Product Attribute;Atribut proizvoda;module;Magento_SalesRule
FOUND;PRONAĐENO;module;Magento_SalesRule
NOT FOUND;NIJE PRONAĐENO;module;Magento_SalesRule
If an item is %1 in the cart with %2 of these conditions true:;Ako je proizvod %1 u korpi sa %2 uslovi su ispravni:;module;Magento_SalesRule
total quantity;ukupna količina;module;Magento_SalesRule
total amount;ukupno;module;Magento_SalesRule
is;je;module;Magento_SalesRule
is not;nije;module;Magento_SalesRule
equals or greater than;jednako ili veće od;module;Magento_SalesRule
equals or less than;jednako ili manje od;module;Magento_SalesRule
greater than;veće od;module;Magento_SalesRule
less than;manje od;module;Magento_SalesRule
is one of;je deo;module;Magento_SalesRule
is not one of;nije deo;module;Magento_SalesRule
If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:;Ako je %1 %2 %3 za podizvor proizvoda u korpi jednak %4 uvetima:;module;Magento_SalesRule
Percent of product price discount;Procenat popusta na proizvod;module;Magento_SalesRule
Fixed amount discount;Stalni iznos popusta;module;Magento_SalesRule
Fixed amount discount for whole cart;Stalni iznos popusta za korpu;module;Magento_SalesRule
Buy X get Y free (discount amount is Y);Kupite X dobijte Y besplatno (popust se odnosi na Y);module;Magento_SalesRule
Active;Aktivno;module;Magento_SalesRule
Inactive;Neaktivno;module;Magento_SalesRule
Specified rule does not allow automatic coupon generation;Pravilo ne dopušta automatsko generisanje kupona;module;Magento_SalesRule
Error occurred when generating coupons: %1;Dogodila se greška prilikom generisanja kupona: %1;module;Magento_SalesRule
Some coupons are invalid.;Neki su kuponi pogrešni.;module;Magento_SalesRule
Item totals are not set for the rule.;Ukupni broj stavki nije određen za pravilo.;module;Magento_SalesRule
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.";"%1 cena korpe zasnivana na ""%2"" atributa koji su isključeni.";module;Magento_SalesRule
Entity Sequence profile not added to meta active profile;Entity Sequence profile nije dodat u aktivni meta profil;module;Magento_SalesSequence
Not enough arguments;Nedovoljno argumenata;module;Magento_SalesSequence
Credit Memos;Novčani podsetnik;module;Magento_Sales
Orders;Narudžbine;module;Magento_Sales
Invoices;Računi;module;Magento_Sales
We can't get the order instance right now.;Nije moguće dohvatiti instancu narudžbine.;module;Magento_Sales
Create New Order;Stvorite novu narudžbinu;module;Magento_Sales
Save Order Address;Spremite adresu za narudžbinu;module;Magento_Sales
Shipping;Dostava;module;Magento_Sales
Billing;Naplata;module;Magento_Sales
Edit Order %1 %2 Address;Uredite adrese za narudžbine %1 %2;module;Magento_Sales
Order Address Information;Podaci o adresi narudžbine;module;Magento_Sales
Please correct the parent block for this block.;Ispravite nadblok za ovaj blok.;module;Magento_Sales
Submit Comment;Pošalji komentar;module;Magento_Sales
Submit Order;Naručite;module;Magento_Sales
Are you sure you want to cancel this order?;Jeste li sigurni da želite odustati od ove narudžbe?;module;Magento_Sales
Cancel;Odustanite;module;Magento_Sales
Billing Address;Adresa za račun;module;Magento_Sales
Payment Method;Metoda plaćanja;module;Magento_Sales
Order Comment;Komentar narudžbine;module;Magento_Sales
Coupons;Kuponi;module;Magento_Sales
Please select a customer;Molimo odaberite korisnika;module;Magento_Sales
Create New Customer;Stvori novog korisnika;module;Magento_Sales
Account Information;Informacije o profilu;module;Magento_Sales
From;Od;module;Magento_Sales
To;Za;module;Magento_Sales
Message;Poruka;module;Magento_Sales
Edit Order #%1;Uredite narudžbinu broj #%1;module;Magento_Sales
Create New Order for %1 in %2;Stvorite novu narudžbinu za %1 u %2;module;Magento_Sales
Create New Order in %1;Stvorite novu narudžbinu %1;module;Magento_Sales
Create New Order for %1;Stvorite novu narudžbinu za %1;module;Magento_Sales
Create New Order for New Customer;Stvorite novu narudžbinu za novog korisnika;module;Magento_Sales
Items Ordered;Naručeni proizvodi;module;Magento_Sales
This product is disabled.;Proizvod je onemogućen.;module;Magento_Sales
Buy %1 for price %2;Kupi %1 po ceni %2;module;Magento_Sales
Item ordered qty;Količina naručenih proizvoda;module;Magento_Sales
%1 with %2 discount each;%1 s %2 popustom svakog;module;Magento_Sales
%1 for %2;%1 za %2;module;Magento_Sales
* - Enter custom price including tax;* - Unesi proizvoljnu cenu koja uključuje porez;module;Magento_Sales
* - Enter custom price excluding tax;* - Unesi proizvoljnu cenu koja ne uključuje porez;module;Magento_Sales
Configure;Konfigurisati;module;Magento_Sales
This product does not have any configurable options;Ovaj proizvod nema ni jednu konfigurabilnu opciju;module;Magento_Sales
Newsletter Subscription;Pretplata na Newsletter;module;Magento_Sales
Please select products;Molimo odaberite proizvode;module;Magento_Sales
Add Selected Product(s) to Order;Dodajte odabrane proizvod/e u narudžbinu ;module;Magento_Sales
ID;ID;module;Magento_Sales
Product;Proizvod;module;Magento_Sales
SKU;SKU;module;Magento_Sales
Price;Cena;module;Magento_Sales
Select;Odaberite;module;Magento_Sales
Quantity;Količina;module;Magento_Sales
Shipping Address;Adresa pošiljke;module;Magento_Sales
Shipping Method;Metoda pošiljke;module;Magento_Sales
Update Changes;Promjene ažuriranja;module;Magento_Sales
Shopping Cart;Korpa za kupovinu;module;Magento_Sales
Are you sure you want to delete all items from shopping cart?;Jeste li sigurni da želite obrisati sve proizvode iz korpe za kupovinu?;module;Magento_Sales
Clear Shopping Cart;Očistite korpu za kupovinu;module;Magento_Sales
Products in Comparison List;Proizvodi na listi za upoređivanje;module;Magento_Sales
Recently Compared Products;Nedavno upoređeni proizvodi;module;Magento_Sales
Recently Viewed Products;Nedavno pregledani proizvodi;module;Magento_Sales
Last Ordered Items;Posljednje naručeni proizvodi;module;Magento_Sales
Recently Viewed;Nedavno pregledani;module;Magento_Sales
Wish List;Lista želja;module;Magento_Sales
Please select a store;Molimo odaberite prodavnicu;module;Magento_Sales
Order Totals;Ukupna narudžbina;module;Magento_Sales
Shipping Incl. Tax (%1);Dostava uključujući porez (%1);module;Magento_Sales
Shipping Excl. Tax (%1);Dostava ne uključujući porez (%1);module;Magento_Sales
New Credit Memo for Invoice #%1;Novi novčani zapisnik za fakturu #%1;module;Magento_Sales
New Credit Memo for Order #%1;Novi novčani zapisnik za narudžbinu  #%1;module;Magento_Sales
Refund Shipping (Incl. Tax);Povrat pošiljke (Uključujući porez);module;Magento_Sales
Refund Shipping (Excl. Tax);Povrat pošiljke (Ne uključujući porez);module;Magento_Sales
Refund Shipping;Povrat pošiljke;module;Magento_Sales
Update Qty's;Ažuriranje količine;module;Magento_Sales
Refund;Povrat;module;Magento_Sales
Refund Offline;Povrat izvan mreže;module;Magento_Sales
Paid Amount;Plaćeni iznos;module;Magento_Sales
Refund Amount;Povrat iznosa;module;Magento_Sales
Shipping Amount;Iznos dostave;module;Magento_Sales
Shipping Refund;Povrat dostave;module;Magento_Sales
Order Grand Total;Ukupan zbroj narudžbine;module;Magento_Sales
Adjustment Refund;Povrat podešavanja;module;Magento_Sales
Adjustment Fee;Naknada za prilagođavanje;module;Magento_Sales
Send Email;Pošalji e-mail;module;Magento_Sales
Are you sure you want to send a credit memo email to customer?;Jeste li sigurni da želite poslati novčani podsetnik korisniku?;module;Magento_Sales
Void;Poništiti;module;Magento_Sales
Print;Ispisati;module;Magento_Sales
The credit memo email was sent.;Novčani podsetnik je poslan.;module;Magento_Sales
The credit memo email wasn't sent.;Novčani podsetnik nije poslan.;module;Magento_Sales
